,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VWAP,VOLUME,COUNT,DATE
27789,1516007460,1100.6,1100.6,1097.98,1100.49,1099.85,9.66294754,29,2018-01-15 09:11:00
27790,1516007520,1100.49,1100.5,1100.03,1100.04,1100.22,24.30320876,26,2018-01-15 09:12:00
27791,1516007580,1100.03,1100.55,1100.02,1100.03,1100.07,4.74202647,9,2018-01-15 09:13:00
27792,1516007640,1100.02,1100.04,1100.0,1100.0,1100.01,15.22412776,23,2018-01-15 09:14:00
27793,1516007700,1100.1,1100.79,1100.0,1100.0,1100.44,24.4460491,31,2018-01-15 09:15:00
27794,1516007760,1100.0,1100.0,1098.74,1098.74,1099.38,14.424340099999998,29,2018-01-15 09:16:00
27795,1516007820,1098.65,1099.87,1097.06,1098.64,1098.9,12.40464079,26,2018-01-15 09:17:00
27796,1516007880,1099.0,1099.58,1096.0,1096.0,1097.21,24.26515476,36,2018-01-15 09:18:00
27797,1516007940,1096.0,1097.01,1094.5,1096.0,1095.62,7.46394462,18,2018-01-15 09:19:00
27798,1516008000,1097.0,1098.0,1094.41,1098.0,1097.12,39.16046871,31,2018-01-15 09:20:00
27799,1516008060,1098.0,1100.0,1094.96,1094.96,1095.93,64.10816977,37,2018-01-15 09:21:00
27800,1516008120,1094.94,1095.0,1094.19,1094.98,1094.88,21.89259287,35,2018-01-15 09:22:00
27801,1516008180,1094.97,1095.0,1094.25,1094.99,1094.98,29.35455874,35,2018-01-15 09:23:00
27802,1516008240,1094.99,1095.0,1094.92,1094.96,1094.99,15.71385527,22,2018-01-15 09:24:00
27803,1516008300,1094.97,1095.0,1094.19,1094.96,1094.9,11.47659996,27,2018-01-15 09:25:00
27804,1516008360,1094.99,1096.0,1094.98,1096.0,1095.13,23.81567260000001,20,2018-01-15 09:26:00
27805,1516008420,1096.0,1097.96,1094.98,1095.0,1095.17,34.13087563,23,2018-01-15 09:27:00
27806,1516008480,1094.98,1095.0,1094.89,1094.96,1094.96,21.62768584,22,2018-01-15 09:28:00
27807,1516008540,1094.98,1095.0,1093.05,1095.0,1094.43,43.63808821,44,2018-01-15 09:29:00
27808,1516008600,1095.0,1095.0,1093.0,1094.77,1093.33,85.78140323,39,2018-01-15 09:30:00
27809,1516008660,1093.1,1094.83,1092.41,1094.73,1093.09,57.67765316,23,2018-01-15 09:31:00
27810,1516008720,1094.73,1095.0,1090.1,1090.1,1091.89,76.41100561,69,2018-01-15 09:32:00
27811,1516008780,1090.1,1094.81,1088.63,1089.13,1089.13,349.83087811,57,2018-01-15 09:33:00
27812,1516008840,1094.73,1094.73,1087.25,1092.56,1091.18,111.48613437,55,2018-01-15 09:34:00
27813,1516008900,1090.0,1094.13,1088.83,1089.19,1092.66,36.05717635,36,2018-01-15 09:35:00
27814,1516008960,1089.19,1092.96,1089.19,1092.0,1091.39,13.83630138,21,2018-01-15 09:36:00
27815,1516009020,1092.0,1092.72,1089.2,1089.2,1090.14,12.69986632,25,2018-01-15 09:37:00
27816,1516009080,1089.2,1091.8,1089.18,1091.8,1089.87,29.46424857,26,2018-01-15 09:38:00
27817,1516009140,1091.8,1091.8,1089.18,1089.2,1089.38,29.84194381,20,2018-01-15 09:39:00
27818,1516009200,1089.2,1094.0,1089.2,1093.73,1093.21,58.49315675,38,2018-01-15 09:40:00
27819,1516009260,1093.73,1093.99,1093.5,1093.73,1093.79,0.89842093,6,2018-01-15 09:41:00
27820,1516009320,1093.73,1094.0,1093.73,1094.0,1093.99,12.056410000000001,12,2018-01-15 09:42:00
27821,1516009380,1094.0,1095.45,1094.0,1094.01,1095.25,51.68275409,26,2018-01-15 09:43:00
27822,1516009440,1094.01,1095.45,1080.0,1095.45,1089.84,1054.04273669,167,2018-01-15 09:44:00
27823,1516009500,1095.45,1095.45,1094.25,1095.45,1095.34,24.09697237,28,2018-01-15 09:45:00
27824,1516009560,1094.8,1095.45,1094.31,1095.34,1095.0,28.29309274,28,2018-01-15 09:46:00
27825,1516009620,1095.34,1095.45,1095.07,1095.45,1095.44,72.09093321,24,2018-01-15 09:47:00
27826,1516009680,1095.45,1100.0,1094.36,1099.67,1096.0,68.90593431,35,2018-01-15 09:48:00
27827,1516009740,1099.67,1099.67,1096.93,1097.5,1098.57,1.4498,5,2018-01-15 09:49:00
27828,1516009800,1099.39,1100.0,1097.5,1099.55,1098.91,12.53298214,26,2018-01-15 09:50:00
