,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP,DATE
149,68.38325,GREEN,68.753,67.704,68.1506396051,68.538,1514379360,2017-12-27 12:56:00
150,68.11675,RED,68.785,67.704,68.2669448025,68.0,1514381160,2017-12-27 13:26:00
151,68.338,GREEN,68.404,67.978,68.1918474013,68.57,1514382960,2017-12-27 13:56:00
152,68.13875,RED,68.6,67.985,68.2649237006,67.985,1514384760,2017-12-27 14:26:00
153,67.02275,RED,68.2018368503,66.666,68.2018368503,66.72,1514386560,2017-12-27 14:56:00
154,66.32575,RED,67.6122934252,65.51,67.6122934252,66.491,1514388360,2017-12-27 15:26:00
155,67.32275,GREEN,67.987,66.4,66.9690217126,67.45,1514390160,2017-12-27 15:56:00
156,67.293,GREEN,67.872,67.0,67.1458858563,67.15,1514391960,2017-12-27 16:26:00
157,66.50925,RED,67.34,65.511,67.2194429281,66.997,1514393760,2017-12-27 16:56:00
158,65.69575,RED,66.997,65.0,66.8643464641,65.393,1514395560,2017-12-27 17:26:00
159,66.14825,RED,67.0,65.393,66.280048232,66.1,1514397360,2017-12-27 17:56:00
160,66.828,GREEN,67.888,66.095,66.214149116,66.663,1514399160,2017-12-27 18:26:00
161,67.25175,GREEN,67.632,66.521074558,66.521074558,67.356,1514400960,2017-12-27 18:56:00
162,66.92575,GREEN,67.37,66.721,66.886412279,66.806,1514402760,2017-12-27 19:26:00
163,65.842,RED,67.366,65.0,66.9060811395,65.501,1514404560,2017-12-27 19:56:00
164,65.39825,RED,66.3740405698,65.0,66.3740405698,65.113,1514406360,2017-12-27 20:26:00
165,65.499,RED,66.282,65.022,65.8861452849,65.67,1514408160,2017-12-27 20:56:00
166,65.491,RED,65.6925726424,64.91,65.6925726424,65.683,1514409960,2017-12-27 21:26:00
167,65.83925,GREEN,66.3,65.5917863212,65.5917863212,65.687,1514411760,2017-12-27 21:56:00
168,65.82775,GREEN,68.0,65.005,65.7155181606,65.153,1514413560,2017-12-27 22:26:00
169,66.543,GREEN,67.266,65.153,65.7716340803,67.133,1514415360,2017-12-27 22:56:00
170,66.74975,GREEN,67.133,66.005,66.1573170402,66.94,1514417160,2017-12-27 23:26:00
171,67.2465,GREEN,67.992,66.436,66.4535335201,67.279,1514418960,2017-12-27 23:56:00
172,67.695,GREEN,68.0,66.85001676,66.85001676,67.914,1514420760,2017-12-28 00:26:00
173,66.4885,RED,67.914,66.012,67.27250838,66.014,1514422560,2017-12-28 00:56:00
174,66.5425,RED,66.88050419,66.014,66.88050419,66.685,1514424360,2017-12-28 01:26:00
175,67.5085,GREEN,67.783,66.685,66.711502095,67.783,1514426160,2017-12-28 01:56:00
176,67.146,GREEN,67.965,66.873,67.1100010475,66.873,1514427960,2017-12-28 02:26:00
177,64.938,RED,67.1280005238,64.293,67.1280005238,64.293,1514429760,2017-12-28 02:56:00
178,65.56075,RED,66.401,63.04,66.0330002619,66.401,1514431560,2017-12-28 03:26:00
179,64.92425,RED,66.401,64.426,65.7968751309,64.435,1514433360,2017-12-28 03:56:00
180,63.86875,RED,65.3605625655,63.04,65.3605625655,64.0,1514435160,2017-12-28 04:26:00
