[Trader][2018-01-24 10:47:07,234][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:47:07,235][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:47:07,236][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:57:07.236506
[Trader][2018-01-24 10:47:07,368][INFO] - [XETHZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:47:07,369][INFO] - [XETHZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:47:07,370][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:47:07,370][INFO] - [XETHZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:57:07.370403
[Trader][2018-01-24 10:47:07,372][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:47:07,372][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:57:07.372562
[Trader][2018-01-24 10:47:08,338][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:47:08,339][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:47:08,340][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:57:08.340087
[Trader][2018-01-24 10:57:07,282][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:47:00
[Trader][2018-01-24 10:57:07,416][INFO] - [XETHZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:47:00
[Trader][2018-01-24 10:57:07,420][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:47:00
[Trader][2018-01-24 10:57:08,386][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:47:00
[Trader][2018-01-24 10:57:08,987][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:57:08,989][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:57:08,990][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 11:07:08.990020
[Trader][2018-01-24 10:57:09,635][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:57:09,635][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:57:09,636][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:57:09,636][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:57:09,637][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 11:07:09.637350
[Trader][2018-01-24 10:57:09,637][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 11:07:09.637476
[Trader][2018-01-24 10:57:11,141][INFO] - [XETHZEUR][H_1800_3_2_90_70] Calculating signal
